date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
05-03-2020,4903,174,1438,3465,3.55,29.33,1.036794248255445
05-04-2020,5053,179,1653,3400,3.54,32.71,1.030593514174995
05-05-2020,5219,181,1838,3381,3.47,35.22,1.032851771225015
05-06-2020,5408,183,2017,3391,3.38,37.3,1.036213834067829
05-07-2020,5548,183,2179,3369,3.3,39.28,1.025887573964497
05-08-2020,5711,186,2324,3387,3.26,40.69,1.029379956741168
05-09-2020,5910,186,2461,3449,3.15,41.64,1.03484503589564
05-10-2020,6063,188,2554,3509,3.1,42.12,1.0258883248730966
05-11-2020,6281,188,2811,3470,2.99,44.75,1.0359557974600033
05-12-2020,6418,188,2991,3427,2.93,46.6,1.0218118134055088
05-13-2020,6512,188,3131,3381,2.89,48.08,1.014646307260829
05-14-2020,6607,190,3310,3297,2.88,50.1,1.014588452088452
05-15-2020,6652,190,3400,3252,2.86,51.11,1.0068109580747693
05-16-2020,6741,192,3487,3254,2.85,51.73,1.0133794347564642
05-17-2020,6870,192,3660,3210,2.79,53.28,1.0191366266132622
05-18-2020,6952,192,3758,3194,2.76,54.06,1.0119359534206696
05-19-2020,7023,193,3901,3122,2.75,55.55,1.0102128883774453
05-20-2020,7133,194,4098,3035,2.72,57.45,1.015662822155774
05-21-2020,7211,196,4280,2931,2.72,59.35,1.0109350904247862
05-22-2020,7332,197,4377,2955,2.69,59.7,1.0167799195673277
05-23-2020,7406,198,4638,2768,2.67,62.62,1.0100927441352974
05-24-2020,7433,199,4703,2730,2.68,63.27,1.0036456926816095
05-25-2020,7532,200,4774,2758,2.66,63.38,1.013318982914032
05-26-2020,7577,202,4881,2696,2.67,64.42,1.0059745087626129
05-27-2020,7601,202,4978,2623,2.66,65.49,1.0031674805331925
05-28-2020,7643,202,5195,2448,2.64,67.97,1.0055255887383239
05-29-2020,7714,202,5271,2443,2.62,68.33,1.0092895459897946
05-30-2020,7780,204,5401,2379,2.62,69.42,1.00855587243972
05-31-2020,7807,205,5459,2348,2.63,69.92,1.0034704370179948
06-01-2020,7833,205,5893,1940,2.62,75.23,1.003330344562572
06-02-2020,7866,206,6410,1456,2.62,81.49,1.004212945231712
06-03-2020,7922,206,6866,1056,2.6,86.67,1.0071192473938468
06-04-2020,8003,208,7195,808,2.6,89.9,1.010224690734663
06-05-2020,8071,208,7268,803,2.58,90.05,1.0084968136948644
06-06-2020,8151,208,7315,836,2.55,89.74,1.0099120307272953
06-07-2020,8224,208,7364,860,2.53,89.54,1.0089559563243773
06-08-2020,8302,208,7408,894,2.51,89.23,1.0094844357976653
06-09-2020,8437,210,7493,944,2.49,88.81,1.0162611418935197
06-10-2020,8508,211,7565,943,2.48,88.92,1.0084153135000593
06-11-2020,8537,211,7583,954,2.47,88.83,1.0034085566525623
06-12-2020,8610,212,7618,992,2.46,88.48,1.0085510132364999
06-13-2020,8692,212,7696,996,2.44,88.54,1.0095238095238095
06-14-2020,8793,212,7765,1028,2.41,88.31,1.011619880349747
06-15-2020,8885,212,7828,1057,2.39,88.1,1.0104628681906063
06-16-2020,8931,212,7937,994,2.37,88.87,1.005177265053461
06-17-2020,8997,213,7993,1004,2.37,88.84,1.007389989922741
06-18-2020,9074,213,8041,1033,2.35,88.62,1.0085584083583417
06-19-2020,9613,213,8117,1496,2.22,84.44,1.0594004849019176
06-20-2020,9839,213,8223,1616,2.16,83.58,1.0235098304379486
06-21-2020,9977,214,8284,1693,2.14,83.03,1.01402581563167
06-22-2020,10172,214,8366,1806,2.1,82.25,1.0195449533928034
06-23-2020,10344,214,8407,1937,2.07,81.27,1.0169091624066064
06-24-2020,10907,216,8468,2439,1.98,77.64,1.0544276875483372
06-25-2020,11338,217,8500,2838,1.91,74.97,1.0395159072155495
06-26-2020,11633,218,8656,2977,1.87,74.41,1.026018698183101
06-27-2020,11877,220,8723,3154,1.85,73.44,1.020974813031892
06-28-2020,12052,221,8740,3312,1.83,72.52,1.014734360528753
06-29-2020,12290,225,8833,3457,1.83,71.87,1.0197477597079323
06-30-2020,12533,228,8920,3613,1.82,71.17,1.0197721724979658
07-01-2020,12636,228,9026,3610,1.8,71.43,1.0082183036782892
07-02-2020,12969,229,9090,3879,1.77,70.09,1.0263532763532763
07-03-2020,13288,230,9160,4128,1.73,68.93,1.0245971162001697
07-04-2020,13822,232,9329,4493,1.68,67.49,1.0401866345574955
07-05-2020,14215,235,9725,4490,1.65,68.41,1.0284329330053539
07-06-2020,14379,237,10173,4206,1.65,70.75,1.0115371086880056
07-07-2020,14607,240,10639,3968,1.64,72.83,1.0158564573336115
07-08-2020,14771,242,11316,3455,1.64,76.61,1.0112274936674197
07-09-2020,15079,242,11447,3632,1.6,75.91,1.0208516688105072
07-10-2020,15328,243,11827,3501,1.59,77.16,1.0165130313681279
07-11-2020,15542,245,12065,3477,1.58,77.63,1.0139613778705636
07-12-2020,15745,250,12283,3462,1.59,78.01,1.0130613820615106
07-13-2020,15936,255,12934,3002,1.6,81.16,1.0121308351857732
07-14-2020,16097,257,13442,2655,1.6,83.51,1.0101029116465863
07-15-2020,16262,259,13821,2441,1.59,84.99,1.010250357209418
07-16-2020,16545,263,13965,2580,1.59,84.41,1.017402533513713
07-17-2020,16726,264,14360,2366,1.58,85.85,1.0109398609851918
07-18-2020,17015,269,14620,2395,1.58,85.92,1.017278488580653
07-19-2020,17236,273,14921,2315,1.58,86.57,1.0129885395239495
07-20-2020,17562,276,15132,2430,1.57,86.16,1.0189139011371549
07-21-2020,17742,280,15389,2353,1.58,86.74,1.0102494021182098
07-22-2020,17962,285,15636,2326,1.59,87.05,1.0123999549092548
07-23-2020,18264,292,15872,2392,1.6,86.9,1.0168132724640908
07-24-2020,18834,299,16100,2734,1.59,85.48,1.031208935611038
07-25-2020,19645,305,16282,3363,1.55,82.88,1.0430604226399065
07-26-2020,20278,313,16438,3840,1.54,81.06,1.03222193942479
07-27-2020,20887,316,16553,4334,1.51,79.25,1.0300325475885195
07-28-2020,21387,327,17066,4321,1.53,79.8,1.023938334849428
07-29-2020,22213,334,17125,5088,1.5,77.09,1.0386215925562257
07-30-2020,23259,346,17311,5948,1.49,74.43,1.0470895421599964
07-31-2020,24322,353,17658,6664,1.45,72.6,1.0457027387247948
08-01-2020,25015,367,17960,7055,1.47,71.8,1.028492722637941
08-02-2020,25537,382,18435,7102,1.5,72.19,1.0208674795122927
08-03-2020,26196,401,18968,7228,1.53,72.41,1.0258056936993383
08-04-2020,27217,417,19629,7588,1.53,72.12,1.03897541609406
08-05-2020,28500,435,19994,8506,1.53,70.15,1.0471396553624572
08-06-2020,29644,449,20553,9091,1.51,69.33,1.040140350877193
08-07-2020,30662,461,21548,9114,1.5,70.28,1.0343408446903253
08-08-2020,32007,480,22190,9817,1.5,69.33,1.0438653708172982
08-09-2020,33237,498,23347,9890,1.5,70.24,1.0384290936357672
08-10-2020,34063,516,24524,9539,1.51,72.0,1.0248518217649005
08-11-2020,35195,533,25385,9810,1.51,72.13,1.0332325397058393
08-12-2020,36694,556,25677,11017,1.52,69.98,1.0425912771700525
08-13-2020,37935,584,26687,11248,1.54,70.35,1.0338202430915135
08-14-2020,39241,611,27644,11597,1.56,70.45,1.0344273098721497
08-15-2020,41017,632,28566,12451,1.54,69.64,1.0452587854539894
08-16-2020,42489,658,29344,13145,1.55,69.06,1.035887558817076
08-17-2020,43558,681,29941,13617,1.56,68.74,1.025159453034903
08-18-2020,44803,714,31002,13801,1.59,69.2,1.028582579549107
08-19-2020,46313,743,31576,14737,1.6,68.18,1.0337031002388233
08-20-2020,47638,775,32806,14832,1.63,68.87,1.0286096776283118
08-21-2020,49247,817,34199,15048,1.66,69.44,1.0337755573281835
08-22-2020,50812,858,35040,15772,1.69,68.96,1.0317785854975938
08-23-2020,52349,888,36343,16006,1.7,69.42,1.0302487601354011
08-24-2020,53252,920,37478,15774,1.73,70.38,1.0172496131731266
08-25-2020,54528,955,38293,16235,1.75,70.23,1.0239615413505596
08-26-2020,55864,984,40586,15278,1.76,72.65,1.0245011737089202
08-27-2020,57085,1011,41901,15184,1.77,73.4,1.0218566518688244
08-28-2020,58489,1052,43049,15440,1.8,73.6,1.0245949023386178
08-29-2020,60056,1078,44618,15438,1.79,74.29,1.0267913624784148
08-30-2020,61399,1111,46355,15044,1.81,75.5,1.0223624617024112
08-31-2020,62590,1141,47595,14995,1.82,76.04,1.0193977100604243
09-01-2020,63781,1184,48922,14859,1.86,76.7,1.0190285988177026
09-02-2020,65453,1216,50357,15096,1.86,76.94,1.026214703438328
09-03-2020,66855,1253,51223,15632,1.87,76.62,1.0214199501932684
09-04-2020,68605,1292,52483,16122,1.88,76.5,1.0261760526512602
09-05-2020,70160,1329,53929,16231,1.89,76.87,1.0226659864441368
09-06-2020,72394,1361,55274,17120,1.88,76.35,1.031841505131129
09-07-2020,73780,1394,56096,17684,1.89,76.03,1.0191452330303616
09-08-2020,75721,1427,57239,18482,1.88,75.59,1.0263079425318515
09-09-2020,77878,1453,59723,18155,1.87,76.69,1.0284861531147238
09-10-2020,79767,1491,61850,17917,1.87,77.54,1.024255887413647
09-11-2020,82197,1524,64194,18003,1.85,78.1,1.0304637256008125
09-12-2020,84435,1553,65867,18568,1.84,78.01,1.0272272710682873
09-13-2020,86686,1578,67528,19158,1.82,77.9,1.0266595606087523
09-14-2020,88203,1614,68970,19233,1.83,78.19,1.0174999423205593
09-15-2020,90324,1648,71047,19277,1.82,78.66,1.0240468011292132
09-16-2020,92016,1686,72968,19048,1.83,79.3,1.0187325627740136
09-17-2020,94504,1714,74930,19574,1.81,79.29,1.027038775865067
09-18-2020,97264,1755,76690,20574,1.8,78.85,1.0292051130110895
09-19-2020,99816,1795,79008,20808,1.8,79.15,1.0262378680704063
09-20-2020,101743,1830,80732,21011,1.8,79.35,1.0193055221607759
09-21-2020,103119,1855,84158,18961,1.8,81.61,1.0135242719400843
09-22-2020,105346,1889,85883,19463,1.79,81.52,1.021596408033437
09-23-2020,107743,1918,88244,19499,1.78,81.9,1.0227535929223701
09-24-2020,110099,1956,90186,19913,1.78,81.91,1.0218668498185497
09-25-2020,112522,1998,91932,20590,1.78,81.7,1.0220074660078657
09-26-2020,115241,2041,94150,21091,1.77,81.7,1.0241641634524803
09-27-2020,117685,2069,95591,22094,1.76,81.23,1.0212077298878004
09-28-2020,119107,2113,97468,21639,1.77,81.83,1.0120831031992183
09-29-2020,121183,2152,100253,20930,1.78,82.73,1.017429706062616
09-30-2020,123653,2194,102715,20938,1.77,83.07,1.0203823968708483
10-01-2020,126044,2229,104136,21908,1.77,82.62,1.0193363687092105
10-02-2020,128565,2263,106044,22521,1.76,82.48,1.020000952048491
10-03-2020,131228,2293,108687,22541,1.75,82.82,1.0207132578851166
10-04-2020,133272,2330,111036,22236,1.75,83.32,1.0155759441582588
10-05-2020,134695,2369,113336,21359,1.76,84.14,1.0106774116093402
10-06-2020,137248,2410,115354,21894,1.76,84.05,1.0189539329596495
10-07-2020,140024,2439,118142,21882,1.74,84.37,1.020226159944043
10-08-2020,142953,2486,120275,22678,1.74,84.14,1.0209178426555447
10-09-2020,146398,2530,123022,23376,1.73,84.03,1.024098829685281
10-10-2020,149841,2572,124854,24987,1.72,83.32,1.023518080848099
10-11-2020,152404,2605,127407,24997,1.71,83.6,1.017104797752284
10-12-2020,153761,2636,129498,24263,1.71,84.22,1.0089039657751766
10-13-2020,156946,2685,131462,25484,1.71,83.76,1.020713965179727
10-14-2020,160333,2726,133959,26374,1.7,83.55,1.0215806710588355
10-15-2020,163650,2772,136036,27614,1.69,83.13,1.0206881926989453
10-16-2020,167148,2818,138989,28159,1.69,83.15,1.0213748854262146
10-17-2020,170911,2878,141381,29530,1.68,82.72,1.0225129825065211
10-18-2020,173632,2928,143972,29660,1.69,82.92,1.015920566844732
10-19-2020,175749,2976,146421,29328,1.69,83.31,1.0121924530040545
10-20-2020,179003,3027,148838,30165,1.69,83.15,1.0185150413373618
10-21-2020,182580,3079,151634,30946,1.69,83.05,1.019982905314436
10-22-2020,186731,3132,154481,32250,1.68,82.73,1.0227352393471354
10-23-2020,190416,3205,157175,33241,1.68,82.54,1.019734270153322
10-24-2020,194461,3255,160372,34089,1.67,82.47,1.0212429627762374
10-25-2020,197481,3301,163195,34286,1.67,82.64,1.015530106293807
10-26-2020,199745,3373,165922,33823,1.69,83.07,1.0114643940429713
10-27-2020,203733,3445,168706,35027,1.69,82.81,1.0199654559563442
10-28-2020,207718,3506,171591,36127,1.69,82.61,1.0195599142014302
10-29-2020,212038,3572,174911,37127,1.68,82.49,1.020797427281218
10-30-2020,215294,3625,177925,37369,1.68,82.64,1.015355738122412
10-31-2020,219084,3695,181275,37809,1.69,82.74,1.0176038347561938
11-01-2020,222544,3762,184313,38231,1.69,82.82,1.015793029157766
11-02-2020,225070,3826,187101,37969,1.7,83.13,1.0113505643827738
11-03-2020,229565,3900,189909,39656,1.7,82.73,1.019971564402186
11-04-2020,235310,3982,193886,41424,1.69,82.4,1.0250255918802953
11-05-2020,240951,4059,197215,43736,1.68,81.85,1.0239726318473503
11-06-2020,246349,4127,200954,45395,1.68,81.57,1.0224028951944586
11-07-2020,252185,4197,205556,46629,1.66,81.51,1.0236899682970095
11-08-2020,256781,4272,209801,46980,1.66,81.7,1.0182247159823146
11-09-2020,259951,4356,212905,47046,1.68,81.9,1.012345150147402
11-10-2020,265165,4425,216851,48314,1.67,81.78,1.0200576262449461
11-11-2020,270626,4506,221743,48883,1.67,81.94,1.0205947240397488
11-12-2020,276821,4570,226040,50781,1.65,81.66,1.022891370378308
11-13-2020,282336,4631,229160,53176,1.64,81.17,1.0199226214774169
11-14-2020,288211,4697,234904,53307,1.63,81.5,1.0208085401790774
11-15-2020,293177,4779,238598,54579,1.63,81.38,1.0172304318710945
11-16-2020,296189,4850,243359,52830,1.64,82.16,1.0102736572104907
11-17-2020,301604,4932,247594,54010,1.64,82.09,1.0182822454581366
11-18-2020,306995,5013,253351,53644,1.63,82.53,1.0178744313735892
11-19-2020,311554,5090,257992,53562,1.63,82.81,1.0148504047297187
11-20-2020,316260,5182,262212,54048,1.64,82.91,1.0151049256308697
11-21-2020,320962,5256,266711,54251,1.64,83.1,1.0148675140707013
11-22-2020,324941,5316,270457,54484,1.64,83.23,1.0123971061994879
11-23-2020,327528,5396,275158,52370,1.65,84.01,1.007961445308533
11-24-2020,331527,5469,279276,52251,1.65,84.24,1.0122096431450136
11-25-2020,336506,5539,284496,52010,1.65,84.54,1.01501838462629
11-26-2020,340684,5619,289808,50876,1.65,85.07,1.0124158261665468
11-27-2020,345276,5689,294036,51240,1.65,85.16,1.0134787662467273
11-28-2020,349688,5739,298574,51114,1.64,85.38,1.012778183250501
11-29-2020,353803,5789,302314,51489,1.64,85.45,1.0117676328612935
11-30-2020,356336,5846,305291,51045,1.64,85.68,1.007159351390463
12-01-2020,359844,5915,310193,49651,1.64,86.2,1.0098446410129764
12-02-2020,364190,5985,314237,49953,1.64,86.28,1.0120774557863963
12-03-2020,368624,6063,318987,49637,1.64,86.53,1.0121749636178918
12-04-2020,372620,6136,323814,48806,1.65,86.9,1.0108403142497504
12-05-2020,376738,6184,327693,49045,1.64,86.98,1.0110514733508669
12-06-2020,379657,6245,331301,48356,1.64,87.26,1.0077480901846907
12-07-2020,381188,6320,334269,46919,1.66,87.69,1.0040325873090712
12-08-2020,384088,6370,337719,46369,1.66,87.93,1.007607794579053
12-09-2020,388184,6427,341685,46499,1.66,88.02,1.010664222782279
12-10-2020,391529,6492,345934,45595,1.66,88.35,1.008617047585681
12-11-2020,394564,6542,349821,44743,1.66,88.66,1.0077516607965182
12-12-2020,397597,6589,353098,44499,1.66,88.81,1.0076869658661205
12-13-2020,399609,6624,356023,43586,1.66,89.09,1.0050604003551336
12-14-2020,400826,6659,359065,41761,1.66,89.58,1.0030454769537223
12-15-2020,403619,6711,362911,40708,1.66,89.91,1.0069681108510924
12-16-2020,406970,6749,366835,40135,1.66,90.14,1.0083023841791392
12-17-2020,409746,6804,369998,39748,1.66,90.3,1.0068211416074895
12-18-2020,412393,6854,372725,39668,1.66,90.38,1.0064600996715038
12-19-2020,415226,6909,375623,39603,1.66,90.46,1.0068696607362395
12-20-2020,417125,6957,378154,38971,1.67,90.66,1.0045734130329025
12-21-2020,418002,7000,380134,37868,1.67,90.94,1.0021024872640096
12-22-2020,420648,7030,382925,37723,1.67,91.03,1.0063301132530467
12-23-2020,423214,7086,385895,37319,1.67,91.18,1.0061001122078317
12-24-2020,425864,7130,388728,37136,1.67,91.28,1.006261607602773
12-25-2020,428193,7170,391920,36273,1.67,91.53,1.0054688820844213
12-26-2020,430562,7204,396095,34467,1.67,91.99,1.0055325519100031
12-27-2020,432079,7240,398060,34019,1.68,92.13,1.0035233021028331
12-28-2020,433029,7272,399575,33454,1.68,92.27,1.0021986720021108
12-29-2020,435189,7314,401429,33760,1.68,92.24,1.0049881185786633
12-30-2020,437332,7355,405251,32081,1.68,92.66,1.0049242972593517
12-31-2020,439193,7388,407504,31689,1.68,92.78,1.0042553483394767
01-01-2021,440970,7425,409638,31332,1.68,92.89,1.004046057200365
01-02-2021,442141,7452,412168,29973,1.69,93.22,1.0026555094450869
01-03-2021,443146,7485,413393,29753,1.69,93.29,1.0022730305490781
01-04-2021,443802,7538,414972,28830,1.7,93.5,1.001480324768812
01-05-2021,445439,7581,416708,28731,1.7,93.55,1.003688581845057
01-06-2021,447081,7618,418744,28337,1.7,93.66,1.0036862510916198
01-07-2021,448678,7645,420569,28109,1.7,93.74,1.0035720596491464
01-08-2021,450221,7685,422072,28149,1.71,93.75,1.0034389918828202
01-09-2021,451637,7709,423541,28096,1.71,93.78,1.003145122062276
01-10-2021,452532,7743,424896,27636,1.71,93.89,1.001981679977504
01-11-2021,452988,7767,426006,26982,1.71,94.04,1.0010076635464453
01-12-2021,453789,7784,427351,26438,1.72,94.17,1.0017682587618215
01-13-2021,455055,7810,429278,25777,1.72,94.34,1.0027898428564817
01-14-2021,456334,7854,431167,25167,1.72,94.48,1.0028106492621771
01-15-2021,457625,7888,432576,25049,1.72,94.53,1.0028290681825154
01-16-2021,458865,7911,433937,24928,1.72,94.57,1.0027096421742694
01-17-2021,459671,7942,434925,24746,1.73,94.62,1.0017565079053752
01-18-2021,460144,7977,435686,24458,1.73,94.68,1.0010289968259907
01-19-2021,461390,8011,436626,24764,1.74,94.63,1.0027078479780243
01-20-2021,462542,8043,437955,24587,1.74,94.68,1.0024968031383428
01-21-2021,463706,8076,439301,24405,1.74,94.74,1.0025165282287878
01-22-2021,464844,8105,440652,24192,1.74,94.8,1.002454141201537
01-23-2021,465769,8128,441693,24076,1.75,94.83,1.0019899148961802
01-24-2021,466289,8150,442441,23848,1.75,94.89,1.001116433253394
01-25-2021,466626,8172,443472,23154,1.75,95.04,1.0007227277503865
01-26-2021,467493,8187,444823,22670,1.75,95.15,1.0018580190559463
01-27-2021,468383,8207,446181,22202,1.75,95.26,1.0019037718211823
01-28-2021,469139,8224,447076,22063,1.75,95.3,1.0016140637042763
01-29-2021,469990,8246,447866,22124,1.75,95.29,1.001813961320632
01-30-2021,470691,8259,448628,22063,1.75,95.31,1.0014915210961934
01-31-2021,471157,8275,449160,21997,1.76,95.33,1.0009900338013686
02-01-2021,471438,8287,450052,21386,1.76,95.46,1.000596404171009
02-02-2021,472273,8309,450847,21426,1.76,95.46,1.0017711766976782
02-03-2021,473047,8323,451780,21267,1.76,95.5,1.0016388825954479
02-04-2021,473667,8351,452522,21145,1.76,95.54,1.0013106520070945
02-05-2021,474379,8368,453302,21077,1.76,95.56,1.0015031657261324
02-06-2021,474966,8381,453921,21045,1.76,95.57,1.0012374072208088
02-07-2021,475355,8394,454504,20851,1.77,95.61,1.000819005992008
02-08-2021,475589,8408,454997,20592,1.77,95.67,1.0004922636766207
02-09-2021,476125,8424,456032,20093,1.77,95.78,1.0011270235434377
02-10-2021,476689,8436,456751,19938,1.77,95.82,1.0011845628773957
02-11-2021,477160,8440,457325,19835,1.77,95.84,1.0009880655941295
02-12-2021,477656,8450,457956,19700,1.77,95.88,1.0010394836113672
02-13-2021,478135,8460,458504,19631,1.77,95.89,1.0010028137404325
02-14-2021,478474,8477,458852,19622,1.77,95.9,1.000709004778985
02-15-2021,478595,8491,459549,19046,1.77,96.02,1.0002528873042213
02-16-2021,479071,8504,460628,18443,1.78,96.15,1.000994577879
02-17-2021,479579,8517,461466,18113,1.78,96.22,1.001060385621338
02-18-2021,480056,8524,462436,17620,1.78,96.33,1.0009946223667008
02-19-2021,480504,8540,463271,17233,1.78,96.41,1.0009332244571467
02-20-2021,480948,8548,464043,16905,1.78,96.49,1.0009240297687427
02-21-2021,481155,8554,464664,16491,1.78,96.57,1.0004303999600788
02-22-2021,481263,8559,465297,15966,1.78,96.68,1.0002244598933816
02-23-2021,481709,8574,466105,15604,1.78,96.76,1.000926728213056
02-24-2021,482128,8592,466815,15313,1.78,96.82,1.0008698197459462
02-25-2021,482514,8598,467541,14973,1.78,96.9,1.0008006172634654
02-26-2021,482994,8608,468387,14607,1.78,96.98,1.0009947897884828
02-27-2021,483410,8615,468807,14603,1.78,96.98,1.000861294343201
02-28-2021,483654,8623,469046,14608,1.78,96.98,1.0005047475228068
03-01-2021,483766,8637,469345,14421,1.79,97.02,1.0002315705028801
03-02-2021,484159,8645,469868,14291,1.79,97.05,1.0008123762314838
03-03-2021,484753,8653,470425,14328,1.79,97.04,1.001226869685372
03-04-2021,485147,8669,470933,14214,1.79,97.07,1.0008127850678592
03-05-2021,485567,8673,471410,14157,1.79,97.08,1.0008657169888715
03-06-2021,485974,8676,471919,14055,1.79,97.11,1.0008381953468832
03-07-2021,486223,8682,472240,13983,1.79,97.12,1.0005123730899184
03-08-2021,486325,8683,472544,13781,1.79,97.17,1.0002097802860004
03-09-2021,486833,8695,473208,13625,1.79,97.2,1.0010445689610856
03-10-2021,487286,8705,473738,13548,1.79,97.22,1.000930503889424
03-11-2021,487750,8712,474257,13493,1.79,97.23,1.0009522128688286
03-12-2021,488181,8716,474938,13243,1.79,97.29,1.0008836494105586
03-13-2021,488632,8718,475457,13175,1.78,97.3,1.0009238376749607
03-14-2021,488937,8723,475849,13088,1.78,97.32,1.000624191620688
03-15-2021,489096,8733,476126,12970,1.79,97.35,1.0003251952705563
03-16-2021,489622,8737,476727,12895,1.78,97.37,1.0010754534897035
03-17-2021,490088,8745,477305,12783,1.78,97.39,1.0009517546188693
03-18-2021,490575,8748,477879,12696,1.78,97.41,1.0009936990907755
03-19-2021,491019,8755,478386,12633,1.78,97.43,1.0009050603883198
03-20-2021,491463,8763,478870,12593,1.78,97.44,1.000904241994709
03-21-2021,491709,8767,479252,12457,1.78,97.47,1.0005005463280043
03-22-2021,491834,8769,479557,12277,1.78,97.5,1.000254215399759
03-23-2021,492403,8775,480100,12303,1.78,97.5,1.0011568943993299
03-24-2021,492842,8786,480607,12235,1.78,97.52,1.0008915461522372
03-25-2021,493353,8788,481074,12279,1.78,97.51,1.0010368434508423
03-26-2021,493867,8793,481597,12270,1.78,97.52,1.0010418503586682
03-27-2021,494358,8798,482084,12274,1.78,97.52,1.000994194793335
03-28-2021,494659,8798,482352,12307,1.78,97.51,1.0006088704946619
03-29-2021,494756,8807,482585,12171,1.78,97.54,1.000196094683408
03-30-2021,495421,8813,483165,12256,1.78,97.53,1.001344096888163
03-31-2021,496097,8818,483363,12734,1.78,97.43,1.0013644960548704
04-01-2021,496676,8825,483711,12965,1.78,97.39,1.0011671104642843
04-02-2021,497257,8835,484224,13033,1.78,97.38,1.0011697766753376
04-03-2021,497832,8842,484793,13039,1.78,97.38,1.0011563437015467
04-04-2021,498197,8850,484921,13276,1.78,97.34,1.0007331790644234
04-05-2021,498329,8857,485162,13167,1.78,97.36,1.000264955429278
