date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
05-14-2020,35788,770,9695,26093,2.15,27.09,1.0138818063346364
05-15-2020,38799,834,10880,27919,2.15,28.04,1.084134346708394
05-16-2020,38799,834,10880,27919,2.15,28.04,1.0
05-17-2020,40151,873,11341,28810,2.17,28.25,1.0348462589241991
05-18-2020,42125,903,11922,30203,2.14,28.3,1.04916440437349
05-19-2020,43966,939,12489,31477,2.14,28.41,1.0437032640949555
05-20-2020,45898,985,13101,32797,2.15,28.54,1.0439430468998772
05-21-2020,48091,1017,14155,33936,2.11,29.43,1.0477798596888754
05-22-2020,50694,1067,15201,35493,2.1,29.99,1.0541265517456488
05-23-2020,52437,1101,16653,35784,2.1,31.76,1.0343827671913837
05-24-2020,54601,1133,17198,37403,2.08,31.5,1.0412685699029312
05-25-2020,56349,1167,17482,38867,2.07,31.02,1.0320140656764527
05-26-2020,57705,1197,18314,39391,2.07,31.74,1.0240643134749507
05-27-2020,59151,1225,19142,40009,2.07,32.36,1.0250584871328308
05-28-2020,61227,1260,20231,40996,2.06,33.04,1.0350966171324238
05-29-2020,64028,1317,22305,41723,2.06,34.84,1.0457477910072355
05-30-2020,66457,1395,24131,42326,2.1,36.31,1.037936527769101
05-31-2020,69496,1483,25271,44225,2.13,36.36,1.0457288171298735
06-01-2020,72460,1543,26083,46377,2.13,36.0,1.0426499366870037
06-02-2020,76398,1621,27110,49288,2.12,35.49,1.054347226055755
06-03-2020,80463,1688,28923,51540,2.1,35.95,1.0532081991675175
06-04-2020,85264,1770,30128,55136,2.08,35.33,1.0596671762176404
06-05-2020,89249,1838,31198,58051,2.06,34.96,1.0467371927190843
06-06-2020,93983,1935,32581,61402,2.06,34.67,1.0530426111216933
06-07-2020,98943,2002,33465,65478,2.02,33.82,1.0527755019524807
06-08-2020,108317,2172,35018,73299,2.01,32.33,1.0947414167753151
06-09-2020,113702,2255,36308,77394,1.98,31.93,1.0497151878283186
06-10-2020,113702,2255,36308,77394,1.98,31.93,1.0
06-11-2020,125933,2463,40247,85686,1.96,31.96,1.1075706671826353
06-12-2020,125933,2463,40247,85686,1.96,31.96,1.0
06-13-2020,132405,2551,50056,82349,1.93,37.81,1.0513924070736027
06-14-2020,144478,2729,53721,90757,1.89,37.18,1.0911823571617385
06-15-2020,148921,2839,56390,92531,1.91,37.87,1.0307520868229072
06-16-2020,154760,2975,58437,96323,1.92,37.76,1.0392087079726835
06-17-2020,160118,3093,59215,100903,1.93,36.98,1.034621349185836
06-18-2020,165062,3229,61383,103679,1.96,37.19,1.0308772280443173
06-19-2020,171666,3382,63504,108162,1.97,36.99,1.040009208660988
06-20-2020,176617,3501,67892,108725,1.98,38.44,1.0288408887024805
06-21-2020,181088,3590,71458,109630,1.98,39.46,1.0253146639338229
06-22-2020,185034,3695,73471,111563,2.0,39.71,1.0217905106909349
06-23-2020,188926,3755,77754,111172,1.99,41.16,1.021033972134851
06-24-2020,192970,3903,81307,111663,2.02,42.13,1.0214052062712384
06-25-2020,195745,3962,84168,111577,2.02,43.0,1.0143804736487536
06-26-2020,198883,4035,86906,111977,2.03,43.7,1.0160310608189225
06-27-2020,202955,4118,92624,110331,2.03,45.64,1.0204743492405082
06-28-2020,206512,4167,95407,111105,2.02,46.2,1.0175260525732306
06-29-2020,209337,4304,98503,110834,2.06,47.05,1.0136795924692028
06-30-2020,213470,4395,100802,112668,2.06,47.22,1.0197432847513817
07-01-2020,217809,4473,104694,113115,2.05,48.07,1.020326041129901
07-02-2020,221896,4551,113623,108273,2.05,51.21,1.0187641465687827
07-03-2020,221896,4551,113623,108273,2.05,51.21,1.0
07-04-2020,225283,4619,125094,100189,2.05,55.53,1.0152639074160867
07-05-2020,231818,4762,131649,100169,2.05,56.79,1.0290079588783885
07-06-2020,234509,4839,134957,99552,2.06,57.55,1.011608244398623
07-07-2020,237489,4922,140965,96524,2.07,59.36,1.012707401421694
07-08-2020,240848,4983,145311,95537,2.07,60.33,1.014143812976601
07-09-2020,243599,5058,149092,94507,2.08,61.2,1.011422141765761
07-10-2020,246351,5123,153134,93217,2.08,62.16,1.0112972549148396
07-11-2020,248872,5197,156700,92172,2.09,62.96,1.0102333662132486
07-12-2020,251625,5266,161917,89708,2.09,64.35,1.011061911343984
07-13-2020,253604,5320,170656,82948,2.1,67.29,1.0078648782911077
07-14-2020,255769,5386,172810,82959,2.11,67.56,1.0085369315941388
07-15-2020,257914,5426,178737,79177,2.1,69.3,1.0083864737321568
07-16-2020,257914,5426,178737,79177,2.1,69.3,1.0
07-17-2020,261917,5522,198509,63408,2.11,75.79,1.015520677435114
07-18-2020,263496,5568,204276,59220,2.11,77.53,1.0060286273895929
07-19-2020,265083,5599,205929,59154,2.11,77.68,1.0060228618271245
07-20-2020,266096,5639,208030,58066,2.12,78.18,1.003821444604143
07-21-2020,267428,5677,210468,56960,2.12,78.7,1.0050057122241598
07-22-2020,269191,5709,213175,56016,2.12,79.19,1.0065924286163004
07-23-2020,270400,5763,219783,50617,2.13,81.28,1.004491234848119
07-24-2020,271887,5787,236596,35291,2.13,87.02,1.0054992603550297
07-25-2020,273113,5822,237434,35679,2.13,86.94,1.0045092262594386
07-26-2020,273113,5822,237434,35679,2.13,86.94,1.0
07-27-2020,274289,5842,241026,33263,2.13,87.87,1.0043059100079454
07-28-2020,275225,5865,242436,32789,2.13,88.09,1.0034124591215834
07-29-2020,276288,5892,244883,31405,2.13,88.63,1.0038622944863294
07-30-2020,277402,5924,246131,31271,2.14,88.73,1.0040320245540886
07-31-2020,278305,5951,247177,31128,2.14,88.82,1.0032552036394835
08-01-2020,278305,5951,247177,31128,2.14,88.82,1.0
08-02-2020,279699,5976,248577,31122,2.14,88.87,1.0050088931208565
08-03-2020,280461,5999,249397,31064,2.14,88.92,1.0027243572554783
08-04-2020,280461,5999,249397,31064,2.14,88.92,1.0
08-05-2020,281136,6014,254286,26850,2.14,90.45,1.0024067517408837
08-06-2020,281863,6035,256058,25805,2.14,90.84,1.0025859370553754
08-07-2020,282645,6052,258099,24546,2.14,91.32,1.0027743974909797
08-08-2020,283487,6068,259604,23883,2.14,91.58,1.0029790019282139
08-09-2020,284121,6082,260248,23873,2.14,91.6,1.0022364341221996
08-10-2020,284660,6097,260764,23896,2.14,91.61,1.001897079061386
08-11-2020,285191,6112,261246,23945,2.14,91.6,1.001865383264245
08-12-2020,286674,6139,264060,22614,2.14,92.11,1.0052000238436696
08-13-2020,286674,6139,264060,22614,2.14,92.11,1.0
08-14-2020,287300,6153,265215,22085,2.14,92.31,1.0021836650690332
08-15-2020,288047,6162,265624,22423,2.14,92.22,1.0026000696136443
08-16-2020,289215,6175,269087,20128,2.14,93.04,1.0040548938194114
08-17-2020,289215,6175,269087,20128,2.14,93.04,1.0
08-18-2020,289832,6190,269989,19843,2.14,93.15,1.0021333609944159
08-19-2020,290445,6201,272128,18317,2.13,93.69,1.002115018355461
08-20-2020,290958,6209,272804,18154,2.13,93.76,1.0017662552290452
08-21-2020,291588,6219,273579,18009,2.13,93.82,1.0021652609655
08-22-2020,292174,6231,275317,16857,2.13,94.23,1.0020096848978697
08-23-2020,293261,6244,276829,16432,2.13,94.4,1.0037203857975043
08-24-2020,293261,6244,276829,16432,2.13,94.4,1.0
08-25-2020,293711,6255,278425,15286,2.13,94.8,1.0015344692952695
08-26-2020,294193,6267,278939,15254,2.13,94.81,1.001641068941919
08-27-2020,294638,6274,279561,15077,2.13,94.88,1.0015126124686855
08-28-2020,295053,6283,279937,15116,2.13,94.88,1.001408508067527
08-29-2020,295372,6284,280340,15032,2.13,94.91,1.0010811616895947
08-30-2020,295636,6288,280547,15089,2.13,94.9,1.000893788172203
08-31-2020,295849,6294,280682,15167,2.13,94.87,1.000720480590997
09-01-2020,296149,6298,280970,15179,2.13,94.87,1.0010140308062558
09-02-2020,297014,6328,281925,15089,2.13,94.92,1.0029208270161305
09-03-2020,297512,6335,282268,15244,2.13,94.88,1.0016766886409394
09-04-2020,298025,6340,282553,15472,2.13,94.81,1.0017243001962945
09-05-2020,298025,6340,282553,15472,2.13,94.81,1.0
09-06-2020,298903,6345,286016,12887,2.12,95.69,1.0029460615720158
09-07-2020,299233,6350,286157,13076,2.12,95.63,1.0011040370956463
09-08-2020,299659,6359,286506,13153,2.12,95.61,1.0014236397723513
09-09-2020,300030,6365,287658,12372,2.12,95.88,1.0012380739440498
09-10-2020,300371,6370,288206,12165,2.12,95.95,1.0011365530113656
09-11-2020,300955,6373,288536,12419,2.12,95.87,1.0019442622623356
09-12-2020,301481,6379,289429,12052,2.12,96.0,1.0017477696001063
09-13-2020,302020,6383,289806,12214,2.11,95.96,1.0017878406931118
09-14-2020,302424,6389,290261,12163,2.11,95.98,1.001337659757632
09-15-2020,303089,6393,290760,12329,2.11,95.93,1.002198899558236
09-16-2020,303634,6399,291169,12465,2.11,95.89,1.0017981516980161
09-17-2020,304386,6408,291683,12703,2.11,95.83,1.0024766659860227
09-18-2020,305031,6415,292044,12987,2.1,95.74,1.0021190199286432
09-19-2020,305671,6416,292303,13368,2.1,95.63,1.0020981474014117
09-20-2020,306304,6420,292869,13435,2.1,95.61,1.0020708539573593
09-21-2020,306886,6424,293159,13727,2.09,95.53,1.0019000731299623
09-22-2020,307418,6432,293916,13502,2.09,95.61,1.0017335427487732
09-23-2020,308217,6437,294392,13825,2.09,95.51,1.0025990670682914
09-24-2020,309015,6444,294740,14275,2.09,95.38,1.0025890849628671
09-25-2020,309581,6451,295333,14248,2.08,95.4,1.0018316262964582
09-26-2020,310275,6457,295613,14662,2.08,95.27,1.0022417396416448
09-27-2020,310841,6466,296022,14819,2.08,95.23,1.0018241882201273
09-28-2020,311516,6474,296340,15176,2.08,95.13,1.0021715282089556
09-29-2020,312263,6479,296881,15382,2.07,95.07,1.0023979506670604
09-30-2020,312806,6484,297497,15309,2.07,95.11,1.0017389187960148
10-01-2020,313431,6499,298055,15376,2.07,95.09,1.0019980435157894
10-02-2020,313984,6507,298593,15391,2.07,95.1,1.0017643436673462
10-03-2020,314616,6513,298968,15648,2.07,95.03,1.002012841418671
10-04-2020,314616,6513,298968,15648,2.07,95.03,1.0
10-05-2020,315727,6523,300616,15111,2.07,95.21,1.0035312889363541
10-06-2020,316351,6535,301288,15063,2.07,95.24,1.0019763909960187
10-07-2020,316934,6544,302375,14559,2.06,95.41,1.001842889701629
10-08-2020,317595,6552,302708,14887,2.06,95.31,1.002085607729054
10-09-2020,318266,6558,303062,15204,2.06,95.22,1.002112753664258
10-10-2020,318932,6570,303458,15474,2.06,95.15,1.002092589217824
10-11-2020,319317,6580,304185,15132,2.06,95.26,1.0012071538760614
10-12-2020,319848,6588,304609,15239,2.06,95.24,1.0016629243040616
10-13-2020,320463,6601,305080,15383,2.06,95.2,1.0019227883244541
10-14-2020,321218,6614,305395,15823,2.06,95.07,1.002355966211388
10-15-2020,321877,6621,305835,16042,2.06,95.02,1.002051566226052
10-16-2020,322452,6638,306640,15812,2.06,95.1,1.00178639666705
10-17-2020,323019,6654,307069,15950,2.06,95.06,1.0017584012504186
10-18-2020,323452,6659,307409,16043,2.06,95.04,1.0013404784238698
10-19-2020,324034,6673,308010,16024,2.06,95.05,1.001799339623808
10-20-2020,324744,6692,308674,16070,2.06,95.05,1.0021911280914966
10-21-2020,325480,6702,309136,16344,2.06,94.98,1.0022664006109427
10-22-2020,326216,6715,309646,16570,2.06,94.92,1.002261275654418
10-23-2020,327063,6727,310101,16962,2.06,94.81,1.0025964391691395
10-24-2020,327895,6736,310491,17404,2.05,94.69,1.0025438524076402
10-25-2020,328602,6739,311075,17527,2.05,94.67,1.002156178044801
10-26-2020,329375,6745,311440,17935,2.05,94.55,1.002352389821121
10-27-2020,330200,6759,311814,18386,2.05,94.43,1.002504743833017
10-28-2020,331108,6775,312638,18470,2.05,94.42,1.0027498485766202
10-29-2020,332186,6795,313527,18659,2.05,94.38,1.0032557352887879
10-30-2020,332993,6806,314066,18927,2.04,94.32,1.0024293618635343
10-31-2020,333970,6823,314555,19415,2.04,94.19,1.0029339956095173
11-01-2020,335093,6835,315016,20077,2.04,94.01,1.003362577477019
11-02-2020,336260,6849,315446,20814,2.04,93.81,1.0034826152739686
11-03-2020,337573,6867,316060,21513,2.03,93.63,1.0039047165883543
11-04-2020,338875,6893,316665,22210,2.03,93.45,1.003856943535176
11-05-2020,340251,6923,317086,23165,2.03,93.19,1.0040604942825526
11-06-2020,341753,6943,317898,23855,2.03,93.02,1.0044143882016512
11-07-2020,343189,6968,318417,24772,2.03,92.78,1.0042018650896993
11-08-2020,344839,6977,318881,25958,2.02,92.47,1.0048078464053336
11-09-2020,346476,7000,319431,27045,2.02,92.19,1.0047471428695711
11-10-2020,348184,7021,320065,28119,2.02,91.92,1.0049296343758298
11-11-2020,349992,7055,320849,29143,2.02,91.67,1.005192656756198
11-12-2020,352296,7092,321563,30733,2.01,91.28,1.0065830076116025
11-13-2020,354461,7109,322414,32047,2.01,90.96,1.0061454004587052
11-14-2020,356904,7141,323225,33679,2.0,90.56,1.006892154567075
11-15-2020,359032,7160,323824,35208,1.99,90.19,1.005962387644857
11-16-2020,361082,7193,324834,36248,1.99,89.96,1.00570979745538
11-17-2020,363380,7230,325788,37592,1.99,89.65,1.0063642053605553
11-18-2020,365927,7248,326674,39253,1.98,89.27,1.0070091914799935
11-19-2020,368665,7561,327542,41123,2.05,88.85,1.0074823667015553
11-20-2020,371508,7603,328931,42577,2.05,88.54,1.0077116080994941
11-21-2020,374173,7662,329828,44345,2.05,88.15,1.00717346598189
11-22-2020,376929,7696,330885,46044,2.04,87.78,1.0073655768855583
11-23-2020,379883,7744,331760,48123,2.04,87.33,1.007837019703976
11-24-2020,382892,7803,332974,49918,2.04,86.96,1.0079208598436886
11-25-2020,386198,7843,334392,51806,2.03,86.59,1.0086342885200004
11-26-2020,389311,7897,335881,53430,2.03,86.28,1.0080606321109897
11-27-2020,392356,7942,337553,54803,2.02,86.03,1.0078215103092387
11-28-2020,395185,7985,339810,55375,2.02,85.99,1.007210288615441
11-29-2020,398024,8025,341423,56601,2.02,85.78,1.0071839771246378
11-30-2020,400482,8091,343286,57196,2.02,85.72,1.0061755070046028
12-01-2020,403311,8166,345365,57946,2.02,85.63,1.007063987894587
12-02-2020,406810,8205,346951,59859,2.02,85.29,1.0086756870008504
12-03-2020,410072,8260,350305,59767,2.01,85.43,1.0080184852879723
12-04-2020,413191,8303,352529,60662,2.01,85.32,1.0076059813886342
12-05-2020,416499,8361,355012,61487,2.01,85.24,1.008005982705335
12-06-2020,420294,8398,356542,63752,2.0,84.83,1.0091116665346136
12-07-2020,423179,8487,370474,52705,2.01,87.55,1.0068642426491932
12-08-2020,426142,8547,372271,53871,2.01,87.36,1.0070017652104666
12-09-2020,429280,8603,374301,54979,2.0,87.19,1.0073637426022313
12-10-2020,432327,8653,379092,53235,2.0,87.69,1.007097931420052
12-11-2020,435056,8724,381208,53848,2.01,87.62,1.0063123515302075
12-12-2020,438425,8796,383000,55425,2.01,87.36,1.007743830679269
12-13-2020,440787,8832,384719,56068,2.0,87.28,1.0053874664994014
12-14-2020,443246,8905,386333,56913,2.01,87.16,1.0055786581727681
12-15-2020,445977,9010,388598,57379,2.02,87.13,1.0061613641183451
12-16-2020,448522,9080,396591,51931,2.02,88.42,1.005706572312025
12-17-2020,451494,9164,399852,51642,2.03,88.56,1.0066262078560249
12-18-2020,454673,9250,404501,50172,2.03,88.97,1.007041068098358
12-19-2020,457288,9330,407405,49883,2.04,89.09,1.0057513861610432
12-20-2020,458968,9392,409085,49883,2.05,89.13,1.0036738335578455
12-21-2020,460672,9474,410937,49735,2.06,89.2,1.0037126771365323
12-22-2020,462814,9557,415352,47462,2.06,89.74,1.0046497290914143
12-23-2020,465070,9668,417134,47936,2.08,89.69,1.0048745284282672
12-24-2020,467222,9753,418958,48264,2.09,89.67,1.0046272604124111
12-25-2020,469482,9816,420489,48993,2.09,89.56,1.0048371009926758
12-26-2020,471335,9874,422132,49203,2.09,89.56,1.0039469031826567
12-27-2020,473309,9929,423892,49417,2.1,89.56,1.0041881040024612
12-28-2020,475085,9992,425494,49591,2.1,89.56,1.0037523055762725
12-29-2020,477240,10047,430113,47127,2.11,90.13,1.004536030394561
12-30-2020,479715,10105,435073,44642,2.11,90.69,1.0051860699019362
12-31-2020,482178,10176,437229,44949,2.11,90.68,1.0051342984897282
01-01-2021,484362,10258,438974,45388,2.12,90.63,1.0045294476313726
01-02-2021,486634,10311,440660,45974,2.12,90.55,1.0046907065376722
01-03-2021,488529,10350,442457,46072,2.12,90.57,1.0038940970010315
01-04-2021,490476,10409,444360,46116,2.12,90.6,1.0039854338227618
01-05-2021,492594,10461,448393,44201,2.12,91.03,1.0043182541041764
01-06-2021,495075,10511,450515,44560,2.12,91.0,1.0050366021510615
01-07-2021,497510,10558,453828,43682,2.12,91.22,1.004918446699995
01-08-2021,499517,10598,455445,44072,2.12,91.18,1.00403408976704
01-09-2021,502416,10644,456969,45447,2.12,90.95,1.00580360628367
01-10-2021,504293,10676,458371,45922,2.12,90.89,1.0037359478997485
01-11-2021,506701,10717,461977,44724,2.12,91.17,1.0047750018342512
01-12-2021,508824,10772,464950,43874,2.12,91.38,1.0041898476616387
01-13-2021,511921,10818,467234,44687,2.11,91.27,1.006086583966165
01-14-2021,514338,10863,469306,45032,2.11,91.24,1.0047214316271456
01-15-2021,516770,10908,472099,44671,2.11,91.36,1.004728408167392
01-16-2021,519291,10951,473639,45652,2.11,91.21,1.004878379162877
01-17-2021,521211,10997,475228,45983,2.11,91.18,1.0036973488853072
01-18-2021,523011,11055,476471,46540,2.11,91.1,1.0034534958011248
01-19-2021,524783,11103,478517,46266,2.12,91.18,1.0033880740558039
01-20-2021,527146,11157,480696,46450,2.12,91.19,1.0045028135438838
01-21-2021,528891,11204,482771,46120,2.12,91.28,1.0033102783669041
01-22-2021,530818,11247,484508,46310,2.12,91.28,1.003643472851684
01-23-2021,532412,11295,486489,45923,2.12,91.37,1.0030029124860123
01-24-2021,534041,11318,488903,45138,2.12,91.55,1.0030596605636237
01-25-2021,535914,11376,490126,45788,2.12,91.46,1.0035072213556637
01-26-2021,537477,11450,492207,45270,2.13,91.58,1.0029165127240565
01-27-2021,539387,11514,494578,44809,2.13,91.69,1.0035536404348464
01-28-2021,541031,11560,496745,44286,2.14,91.81,1.0030479043803429
01-29-2021,543214,11623,498152,45062,2.14,91.7,1.0040348889435171
01-30-2021,544813,11657,499974,44839,2.14,91.77,1.0029435912918296
01-31-2021,546428,11683,501252,45176,2.14,91.73,1.0029643198675509
02-01-2021,547648,11746,502537,45111,2.14,91.76,1.002232682073393
02-02-2021,549032,11802,504046,44986,2.15,91.81,1.002527170737408
02-03-2021,550540,11833,505818,44722,2.15,91.88,1.0027466522898483
02-04-2021,551842,11886,507502,44340,2.15,91.97,1.002364950775602
02-05-2021,553128,11914,508700,44428,2.15,91.97,1.0023303771731764
02-06-2021,554474,11967,510242,44232,2.16,92.02,1.0024334331294023
02-07-2021,555511,12026,511502,44009,2.16,92.08,1.0018702409851499
02-08-2021,556519,12066,512943,43576,2.17,92.17,1.0018145455265512
02-09-2021,557591,12128,514951,42640,2.18,92.35,1.0019262594808085
02-10-2021,559093,12185,516683,42410,2.18,92.41,1.0026937307094268
02-11-2021,560363,12218,518164,42199,2.18,92.47,1.002271536220271
02-12-2021,561625,12276,523700,37925,2.19,93.25,1.0022521115776737
02-13-2021,563029,12307,525087,37942,2.19,93.26,1.00249988871578
02-14-2021,564077,12333,525997,38080,2.19,93.25,1.0018613606048712
02-15-2021,564077,12333,525997,38080,2.19,93.25,1.0
02-16-2021,565989,12436,528545,37444,2.2,93.38,1.0033896081563332
02-17-2021,567261,12488,530597,36664,2.2,93.54,1.0022473935005805
02-18-2021,568506,12527,531840,36666,2.2,93.55,1.00219475691084
02-19-2021,569846,12563,533202,36644,2.2,93.57,1.0023570551586087
02-20-2021,571174,12601,534107,37067,2.21,93.51,1.0023304541928872
02-21-2021,572334,12617,535491,36843,2.2,93.56,1.0020309047680742
02-22-2021,573384,12658,536243,37141,2.21,93.52,1.0018345930872532
02-23-2021,574580,12708,538207,36373,2.21,93.67,1.0020858621796214
02-24-2021,575941,12772,539888,36053,2.22,93.74,1.0023686866928887
02-25-2021,577482,12804,542393,35089,2.22,93.92,1.0026756212875971
02-26-2021,578797,12837,544406,34391,2.22,94.06,1.002277127252451
02-27-2021,579973,12860,545277,34696,2.22,94.02,1.00203180044126
02-28-2021,581365,12896,546371,34994,2.22,93.98,1.002400111729339
03-01-2021,582528,12938,547406,35122,2.22,93.97,1.0020004644242428
03-02-2021,583916,13013,554255,29661,2.23,94.92,1.0023827180839375
03-03-2021,585435,13076,555242,30193,2.23,94.84,1.0026014015714588
03-04-2021,587014,13128,556769,30245,2.24,94.85,1.0026971397337023
03-05-2021,588728,13166,558210,30518,2.24,94.82,1.002919862217937
03-06-2021,590508,13205,559248,31260,2.24,94.71,1.0030234675435854
03-07-2021,592100,13227,560458,31642,2.23,94.66,1.002695983797002
03-08-2021,593453,13281,563823,29630,2.24,95.01,1.002285086978551
03-09-2021,595239,13324,565216,30023,2.24,94.96,1.0030095053862733
03-10-2021,597497,13377,566492,31005,2.24,94.81,1.00379343423398
03-11-2021,600198,13430,568065,32133,2.24,94.65,1.0045205247892457
03-12-2021,602536,13476,569296,33240,2.24,94.48,1.0038953811908737
03-13-2021,605200,13508,570571,34629,2.23,94.28,1.0044213125854722
03-14-2021,607453,13537,571878,35575,2.23,94.14,1.0037227362855254
03-15-2021,609964,13595,573014,36950,2.23,93.94,1.0041336531385967
03-16-2021,612315,13656,575867,36448,2.23,94.05,1.0038543258290653
03-17-2021,615810,13717,577501,38309,2.23,93.78,1.0057078464515814
